station,timestamp [UTC+0],precipitation [mm per time_step],temperature [degree],sun radiation [W per squared m]
MVE,1926-01-01T00:00:00,0.0,0.0,0.0
MVE,1926-02-01T00:00:00,0.0,0.0,0.0
MVE,1926-03-01T00:00:00,0.0,0.0,0.0
MVE,1926-04-01T00:00:00,0.0,0.0,0.0
MVE,1926-05-01T00:00:00,0.0,0.0,0.0
MVE,1926-06-01T00:00:00,0.0,0.0,0.0
MVE,1926-07-01T00:00:00,0.0,0.0,0.0
MVE,1926-08-01T00:00:00,0.0,0.0,0.0
MVE,1926-09-01T00:00:00,0.0,0.0,0.0
MVE,1926-10-01T00:00:00,0.0,0.0,0.0
MVE,1926-11-01T00:00:00,0.0,0.0,0.0
MVE,1926-12-01T00:00:00,0.0,0.0,0.0
MVE,1927-01-01T00:00:00,0.0,0.0,0.0
MVE,1927-02-01T00:00:00,0.0,0.0,0.0
MVE,1927-03-01T00:00:00,0.0,0.0,0.0
MVE,1927-04-01T00:00:00,0.0,0.0,0.0
MVE,1927-05-01T00:00:00,0.0,0.0,0.0
MVE,1927-06-01T00:00:00,0.0,0.0,0.0
MVE,1927-07-01T00:00:00,0.0,0.0,0.0
MVE,1927-08-01T00:00:00,0.0,0.0,0.0
MVE,1927-09-01T00:00:00,0.0,0.0,0.0
MVE,1927-10-01T00:00:00,0.0,0.0,0.0
MVE,1927-11-01T00:00:00,0.0,0.0,0.0
MVE,1927-12-01T00:00:00,0.0,0.0,0.0
MVE,1928-01-01T00:00:00,0.0,0.0,0.0
MVE,1928-02-01T00:00:00,0.0,0.0,0.0
MVE,1928-03-01T00:00:00,0.0,0.0,0.0
MVE,1928-04-01T00:00:00,0.0,0.0,0.0
MVE,1928-05-01T00:00:00,0.0,0.0,0.0
MVE,1928-06-01T00:00:00,0.0,0.0,0.0
MVE,1928-07-01T00:00:00,0.0,0.0,0.0
MVE,1928-08-01T00:00:00,0.0,0.0,0.0
MVE,1928-09-01T00:00:00,0.0,0.0,0.0
MVE,1928-10-01T00:00:00,0.0,0.0,0.0
MVE,1928-11-01T00:00:00,0.0,0.0,0.0
MVE,1928-12-01T00:00:00,0.0,0.0,0.0
MVE,1929-01-01T00:00:00,0.0,0.0,0.0
MVE,1929-02-01T00:00:00,0.0,0.0,0.0
MVE,1929-03-01T00:00:00,0.0,0.0,0.0
MVE,1929-04-01T00:00:00,0.0,0.0,0.0
MVE,1929-05-01T00:00:00,0.0,0.0,0.0
MVE,1929-06-01T00:00:00,0.0,0.0,0.0
MVE,1929-07-01T00:00:00,0.0,0.0,0.0
MVE,1929-08-01T00:00:00,0.0,0.0,0.0
MVE,1929-09-01T00:00:00,0.0,0.0,0.0
MVE,1929-10-01T00:00:00,0.0,0.0,0.0
MVE,1929-11-01T00:00:00,0.0,0.0,0.0
MVE,1929-12-01T00:00:00,0.0,0.0,0.0
MVE,1930-01-01T00:00:00,0.0,0.0,0.0
MVE,1930-02-01T00:00:00,0.0,0.0,0.0
MVE,1930-03-01T00:00:00,0.0,0.0,0.0
MVE,1930-04-01T00:00:00,0.0,0.0,0.0
MVE,1930-05-01T00:00:00,0.0,0.0,0.0
MVE,1930-06-01T00:00:00,0.0,0.0,0.0
MVE,1930-07-01T00:00:00,0.0,0.0,0.0
MVE,1930-08-01T00:00:00,0.0,0.0,0.0
MVE,1930-09-01T00:00:00,0.0,0.0,0.0
MVE,1930-10-01T00:00:00,0.0,0.0,0.0
MVE,1930-11-01T00:00:00,0.0,0.0,0.0
MVE,1930-12-01T00:00:00,0.0,0.0,0.0
MVE,1931-01-01T00:00:00,198.7,-3.8,0.0
MVE,1931-02-01T00:00:00,114.9,-4.7,0.0
MVE,1931-03-01T00:00:00,147.0,0.9,0.0
MVE,1931-04-01T00:00:00,37.8,3.6,0.0
MVE,1931-05-01T00:00:00,34.5,11.0,0.0
MVE,1931-06-01T00:00:00,34.3,15.7,0.0
MVE,1931-07-01T00:00:00,74.3,13.7,0.0
MVE,1931-08-01T00:00:00,136.6,12.0,0.0
MVE,1931-09-01T00:00:00,52.4,7.2,0.0
MVE,1931-10-01T00:00:00,34.5,6.9,0.0
MVE,1931-11-01T00:00:00,50.4,3.7,0.0
MVE,1931-12-01T00:00:00,44.2,-2.4,0.0
MVE,1932-01-01T00:00:00,68.3,1.1,0.0
MVE,1932-02-01T00:00:00,1.1,-4.6,0.0
MVE,1932-03-01T00:00:00,128.6,0.1,0.0
MVE,1932-04-01T00:00:00,61.6,2.3,0.0
MVE,1932-05-01T00:00:00,102.2,8.0,0.0
MVE,1932-06-01T00:00:00,42.7,11.9,0.0
MVE,1932-07-01T00:00:00,123.7,13.5,0.0
MVE,1932-08-01T00:00:00,35.0,17.1,0.0
MVE,1932-09-01T00:00:00,12.5,14.2,0.0
MVE,1932-10-01T00:00:00,114.2,6.3,0.0
MVE,1932-11-01T00:00:00,12.0,3.6,0.0
MVE,1932-12-01T00:00:00,17.4,2.3,0.0
MVE,1933-01-01T00:00:00,13.9,-4.0,0.0
