station,timestamp [UTC+0],precipitation [mm per Hourly],temperature [degree],sun radiation [W per squared m]
MVE,2017-01-01T00:00:00,0.0,-1.8,1
MVE,2017-01-01T01:00:00,0.0,-1.3,1
MVE,2017-01-01T02:00:00,0.0,-0.9,1
MVE,2017-01-01T03:00:00,0.0,-2.1,1
MVE,2017-01-01T04:00:00,0.0,-2.3,1
MVE,2017-01-01T05:00:00,0.0,-1.8,1
MVE,2017-01-01T06:00:00,0.0,-1.6,1
MVE,2017-01-01T07:00:00,0.0,-2.0,4
MVE,2017-01-01T08:00:00,0.0,0.2,74
MVE,2017-01-01T09:00:00,0.0,2.9,240
MVE,2017-01-01T10:00:00,0.0,4.3,346
MVE,2017-01-01T11:00:00,0.0,5.4,403
MVE,2017-01-01T12:00:00,0.0,6.1,390
MVE,2017-01-01T13:00:00,0.0,6.0,328
MVE,2017-01-01T14:00:00,0.0,5.7,220
MVE,2017-01-01T15:00:00,0.0,4.3,87
MVE,2017-01-01T16:00:00,0.0,0.9,6
MVE,2017-01-01T17:00:00,0.0,-0.5,1
MVE,2017-01-01T18:00:00,0.0,-1.0,1
MVE,2017-01-01T19:00:00,0.0,-1.4,1
MVE,2017-01-01T20:00:00,0.0,-2.0,1
MVE,2017-01-01T21:00:00,0.0,-2.0,1
MVE,2017-01-01T22:00:00,0.0,-2.2,1
MVE,2017-01-01T23:00:00,0.0,-1.7,1
MVE,2017-01-02T00:00:00,0.0,-3.0,1
MVE,2017-01-02T01:00:00,0.0,-2.1,1
MVE,2017-01-02T02:00:00,0.0,-3.1,1
MVE,2017-01-02T03:00:00,0.0,-2.7,1
MVE,2017-01-02T04:00:00,0.0,-2.2,1
MVE,2017-01-02T05:00:00,0.0,-3.3,1
MVE,2017-01-02T06:00:00,0.0,-3.6,0
MVE,2017-01-02T07:00:00,0.0,-3.4,4
MVE,2017-01-02T08:00:00,0.0,-1.0,75
MVE,2017-01-02T09:00:00,0.0,1.6,219
MVE,2017-01-02T10:00:00,0.0,2.0,357
MVE,2017-01-02T11:00:00,0.0,2.4,389
MVE,2017-01-02T12:00:00,0.0,2.4,386
MVE,2017-01-02T13:00:00,0.0,0.6,238
MVE,2017-01-02T14:00:00,0.0,0.8,119
MVE,2017-01-02T15:00:00,0.0,0.2,44
MVE,2017-01-02T16:00:00,0.0,-1.7,3
MVE,2017-01-02T17:00:00,0.0,-3.2,1
MVE,2017-01-02T18:00:00,0.0,-3.6,1
MVE,2017-01-02T19:00:00,0.0,-3.1,1
MVE,2017-01-02T20:00:00,0.0,-2.8,1
MVE,2017-01-02T21:00:00,0.0,-2.1,1
MVE,2017-01-02T22:00:00,0.0,-2.2,1
MVE,2017-01-02T23:00:00,0.0,-2.5,1
MVE,2017-01-03T00:00:00,0.0,-2.0,1
MVE,2017-01-03T01:00:00,0.0,-1.7,1
MVE,2017-01-03T02:00:00,0.0,-1.6,1
MVE,2017-01-03T03:00:00,0.0,-2.2,1
MVE,2017-01-03T04:00:00,0.0,-2.9,1
MVE,2017-01-03T05:00:00,0.0,-3.8,0
MVE,2017-01-03T06:00:00,0.0,-4.4,0
MVE,2017-01-03T07:00:00,0.0,-5.1,4
MVE,2017-01-03T08:00:00,0.0,-5.4,33
MVE,2017-01-03T09:00:00,0.0,-5.1,78
MVE,2017-01-03T10:00:00,0.0,-3.8,247
MVE,2017-01-03T11:00:00,0.0,-4.0,173
MVE,2017-01-03T12:00:00,0.0,-3.6,249
MVE,2017-01-03T13:00:00,0.0,-3.1,199
MVE,2017-01-03T14:00:00,0.0,-3.1,160
MVE,2017-01-03T15:00:00,0.0,-3.0,84
MVE,2017-01-03T16:00:00,0.0,-4.1,4
MVE,2017-01-03T17:00:00,0.0,-5.2,0
MVE,2017-01-03T18:00:00,0.0,-5.4,0
MVE,2017-01-03T19:00:00,0.0,-5.6,0
MVE,2017-01-03T20:00:00,0.0,-5.8,0
MVE,2017-01-03T21:00:00,0.0,-5.9,0
MVE,2017-01-03T22:00:00,0.0,-6.5,0
MVE,2017-01-03T23:00:00,0.0,-6.5,0
MVE,2017-01-04T00:00:00,0.0,-6.4,0
MVE,2017-01-04T01:00:00,0.0,-5.5,1
MVE,2017-01-04T02:00:00,0.0,-5.7,0
MVE,2017-01-04T03:00:00,0.0,-5.9,0
MVE,2017-01-04T04:00:00,0.0,-5.5,0
MVE,2017-01-04T05:00:00,0.0,-4.7,0
MVE,2017-01-04T06:00:00,0.0,-4.2,1
MVE,2017-01-04T07:00:00,0.0,-4.8,2
MVE,2017-01-04T08:00:00,0.0,-3.5,27
MVE,2017-01-04T09:00:00,0.0,-2.5,75
MVE,2017-01-04T10:00:00,0.0,-3.2,153
MVE,2017-01-04T11:00:00,0.0,-2.1,169
MVE,2017-01-04T12:00:00,0.0,-2.3,137
MVE,2017-01-04T13:00:00,0.0,-2.2,84
MVE,2017-01-04T14:00:00,0.0,-1.9,54
MVE,2017-01-04T15:00:00,0.0,-3.2,22
MVE,2017-01-04T16:00:00,0.0,-3.4,2
MVE,2017-01-04T17:00:00,0.0,-2.6,1
MVE,2017-01-04T18:00:00,0.0,-3.3,1
MVE,2017-01-04T19:00:00,0.0,-3.4,1
MVE,2017-01-04T20:00:00,0.0,-3.8,1
MVE,2017-01-04T21:00:00,0.0,-4.2,0
MVE,2017-01-04T22:00:00,0.1,-4.4,0
MVE,2017-01-04T23:00:00,0.1,-4.9,0
MVE,2017-01-05T00:00:00,0.1,-5.3,0
MVE,2017-01-05T01:00:00,0.1,-5.6,0
MVE,2017-01-05T02:00:00,0.1,-6.0,0
MVE,2017-01-05T03:00:00,0.0,-6.1,0
MVE,2017-01-05T04:00:00,0.1,-6.2,0
MVE,2017-01-05T05:00:00,0.0,-6.5,0
MVE,2017-01-05T06:00:00,0.0,-6.6,0
MVE,2017-01-05T07:00:00,0.2,-6.4,1
MVE,2017-01-05T08:00:00,0.1,-6.7,14
MVE,2017-01-05T09:00:00,0.3,-7.1,59
MVE,2017-01-05T10:00:00,0.0,-7.0,114
MVE,2017-01-05T11:00:00,0.0,-6.8,95
MVE,2017-01-05T12:00:00,0.0,-6.4,103
MVE,2017-01-05T13:00:00,0.0,-6.3,74
MVE,2017-01-05T14:00:00,0.0,-5.9,95
MVE,2017-01-05T15:00:00,0.1,-6.3,34
MVE,2017-01-05T16:00:00,0.0,-6.5,2
MVE,2017-01-05T17:00:00,0.0,-6.6,0
