# Note: 
# this data is download from https://data.geo.admin.ch/ch.meteoschweiz.ogd-smn/mve/ogd-smn_mve_m.csv
# reference_timestamp: UTC+0 time
# rre150m0: monthly total (sum) precipitation with unit mm per month
# processed by: QZ at 2026-04-14 at KIT
station_abbr,reference_timestamp,rre150m0
MVE,1931-01-01T00:00:00,198.7
MVE,1931-02-01T00:00:00,114.9
MVE,1931-03-01T00:00:00,147
MVE,1931-04-01T00:00:00,37.8
MVE,1931-05-01T00:00:00,34.5
MVE,1931-06-01T00:00:00,34.3
MVE,1931-07-01T00:00:00,74.3
MVE,1931-08-01T00:00:00,136.6
MVE,1931-09-01T00:00:00,52.4
MVE,1931-10-01T00:00:00,34.5
MVE,1931-11-01T00:00:00,50.4
MVE,1931-12-01T00:00:00,44.2
MVE,1932-01-01T00:00:00,68.3
MVE,1932-02-01T00:00:00,1.1
MVE,1932-03-01T00:00:00,128.6
MVE,1932-04-01T00:00:00,61.6
MVE,1932-05-01T00:00:00,102.2
MVE,1932-06-01T00:00:00,42.7
MVE,1932-07-01T00:00:00,123.7
MVE,1932-08-01T00:00:00,35
MVE,1932-09-01T00:00:00,12.5
MVE,1932-10-01T00:00:00,114.2
MVE,1932-11-01T00:00:00,12
MVE,1932-12-01T00:00:00,17.4
MVE,1933-01-01T00:00:00,13.9
MVE,1933-02-01T00:00:00,59.2
MVE,1933-03-01T00:00:00,72.6
MVE,1933-04-01T00:00:00,27.5
MVE,1933-05-01T00:00:00,58.7
MVE,1933-06-01T00:00:00,103.9
MVE,1933-07-01T00:00:00,63.7
MVE,1933-08-01T00:00:00,35.1
MVE,1933-09-01T00:00:00,84.6
MVE,1933-10-01T00:00:00,74.3
MVE,1933-11-01T00:00:00,22.3
MVE,1933-12-01T00:00:00,11.2
MVE,1934-01-01T00:00:00,102.3
MVE,1934-02-01T00:00:00,3.7
MVE,1934-03-01T00:00:00,77.8
MVE,1934-04-01T00:00:00,51.6
MVE,1934-05-01T00:00:00,30.4
MVE,1934-06-01T00:00:00,111.5
MVE,1934-07-01T00:00:00,43.7
MVE,1934-08-01T00:00:00,68.3
MVE,1934-09-01T00:00:00,34.2
MVE,1934-10-01T00:00:00,57.5
MVE,1934-11-01T00:00:00,44.9
MVE,1934-12-01T00:00:00,85.8
MVE,1935-01-01T00:00:00,78.7
MVE,1935-02-01T00:00:00,158
MVE,1935-03-01T00:00:00,68.6
MVE,1935-04-01T00:00:00,121.8
MVE,1935-05-01T00:00:00,31.7
MVE,1935-06-01T00:00:00,38
MVE,1935-07-01T00:00:00,54.6
MVE,1935-08-01T00:00:00,97.3
MVE,1935-09-01T00:00:00,69.3
MVE,1935-10-01T00:00:00,140.8
MVE,1935-11-01T00:00:00,64.5
MVE,1935-12-01T00:00:00,246.6
MVE,1936-01-01T00:00:00,133.3
MVE,1936-02-01T00:00:00,81.6
MVE,1936-03-01T00:00:00,22.3
MVE,1936-04-01T00:00:00,54.8
MVE,1936-05-01T00:00:00,40.7
MVE,1936-06-01T00:00:00,52.2
MVE,1936-07-01T00:00:00,111.5
MVE,1936-08-01T00:00:00,40.8
MVE,1936-09-01T00:00:00,140
MVE,1936-10-01T00:00:00,50.5
MVE,1936-11-01T00:00:00,58.9
MVE,1936-12-01T00:00:00,115.3
MVE,1937-01-01T00:00:00,68.2
MVE,1937-02-01T00:00:00,208.6
MVE,1937-03-01T00:00:00,86.4
MVE,1937-04-01T00:00:00,69.9
MVE,1937-05-01T00:00:00,74.2
MVE,1937-06-01T00:00:00,67.4
MVE,1937-07-01T00:00:00,48.8
MVE,1937-08-01T00:00:00,66.1
MVE,1937-09-01T00:00:00,35.6
MVE,1937-10-01T00:00:00,25.4
MVE,1937-11-01T00:00:00,32.9
MVE,1937-12-01T00:00:00,87.4
MVE,1938-01-01T00:00:00,138.2
MVE,1938-02-01T00:00:00,65.3
MVE,1938-03-01T00:00:00,20
MVE,1938-04-01T00:00:00,5.7
MVE,1938-05-01T00:00:00,51.7
MVE,1938-06-01T00:00:00,84.9
MVE,1938-07-01T00:00:00,105.4
MVE,1938-08-01T00:00:00,107.8
MVE,1938-09-01T00:00:00,44.2
MVE,1938-10-01T00:00:00,38.9
