Index,Continent,Catchment,Longitude-Station(-denote-West),Latitude-Station(-denote-South),Client,Network,Station,Location,Component,SPS(Hz),Min-Distance2DF-Channel(km),Sensor-Logger-type,Response-type,Manually-Start-time(UTC+0),Manually-End-time(UTC+0),Type(debris-flow=DF),Ref-Start-time4STA(UTC+0),Ref-End-time4STA(UTC+0),Start-time(UTC+0)-by-STA/LTA,End-time(UTC+0)-by-STA/LTA
1,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2013-07-22T16:30:00,2013-07-22T18:30:00,DF_WSL,do-not-need,do-not-need,2013-07-22T16:34:36,2013-07-22T17:45:19
2,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2013-07-29T07:15:00,2013-07-29T08:30:00,F1_WSL,2013-07-29T06:15:00,2013-07-29T09:00:00,2013-07-29T07:22:52,2013-07-29T08:00:08
3,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2013-07-29T08:30:00,2013-07-29T10:15:00,F2_WSL,2013-07-29T08:15:00,2013-07-29T10:30:00,2013-07-29T08:58:27,2013-07-29T09:43:24
4,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2013-07-29T10:15:00,2013-07-29T11:15:00,F2_WSL,2013-07-29T10:00:00,2013-07-29T12:20:00,2013-07-29T10:38:37,2013-07-29T11:28:33
5,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2013-07-29T12:00:00,2013-07-29T15:00:00,F3_WSL,do-not-need,do-not-need,2013-07-29T12:27:36,2013-07-29T13:49:43
6,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2014-04-26T22:30:00,2014-04-27T05:00:00,DF_GFZ,do-not-need,do-not-need,2014-04-26T22:35:07,2014-04-27T01:24:05
7,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2014-04-29T09:00:00,2014-04-29T15:00:00,DF_GFZ,do-not-need,do-not-need,2014-04-29T09:12:41,2014-04-29T12:30:44
8,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2014-04-30T11:00:00,2014-04-30T15:00:00,DF_GFZ,do-not-need,do-not-need,2014-04-30T11:41:10,2014-04-30T13:26:34
9,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2014-05-02T03:00:00,2014-05-02T12:00:00,DF_GFZ,do-not-need,do-not-need,2014-05-02T04:05:54,2014-05-02T08:00:54
10,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200.0,0.09,Trillium-Compact_g_750,xml,2014-05-07T15:30:00,2014-05-07T18:00:00,DF_WSL,do-not-need,do-not-need,2014-05-07T15:48:01,2014-05-07T16:25:24
