### Data Sources and Notes
- DF bulk volumes for the period 2004–2007 are taken from: https://doi.org/10.16904/envidat.173
- Volumes for the four events in 2018 are taken from the Supplementary Information (SI) of: https://doi.org/10.1029/2020GL090874
- Volume* derived from radar cross-sections (CD 28–29) for the period 2019–2022 is taken from: http://dx.doi.org/10.16904/envidat.378
## Note that some events may not be documented in the referenced datasets. For example, the event on 2017-05-19 is not included in the available records.
## Qi Zhou created at 2026-02-10 at KIT.
Event start (UTC+0),Event end (UTC+0),VolumeT[m3]
2004-08-12T16:52:00,2004-08-12T18:52:00,34000
2004-08-24T09:41:00,2004-08-24T11:41:00,36000
2004-10-26T17:26:00,2004-10-26T19:26:00,4000
2005-05-28T21:43:00,2005-05-28T23:43:00,86000
2005-06-03T19:39:00,2005-06-03T21:39:00,28000
2005-06-13T20:38:00,2005-06-13T22:38:00,23000
2005-07-04T22:29:00,2005-07-05T00:29:00,21000
2005-07-18T19:32:00,2005-07-18T21:32:00,12000
2005-08-02T12:46:00,2005-08-02T14:46:00,4000
2005-08-18T21:37:00,2005-08-18T23:37:00,4000
2006-06-24T20:04:00,2006-06-24T22:04:00,55000
2006-06-27T22:22:00,2006-06-28T00:22:00,45000
2006-07-18T18:21:00,2006-07-18T20:21:00,10000
2006-07-28T11:20:00,2006-07-28T13:20:00,7000
2006-10-03T14:27:00,2006-10-03T16:27:00,10000
2007-05-28T01:33:00,2007-05-28T03:33:00,18600
2007-06-10T20:55:00,2007-06-10T22:55:00,50500
2007-06-15T12:04:00,2007-06-15T14:04:00,26750
2007-07-21T18:17:00,2007-07-21T20:17:00,4560
2008-06-16T19:38:00,2008-06-16T21:38:00,10000
2008-07-01T18:24:00,2008-07-01T20:24:00,60000
2008-08-31T19:20:00,2008-08-31T21:20:00,8000
2009-07-28T22:43:00,2009-07-29T00:43:00,NaN
2009-08-09T18:49:00,2009-08-09T20:49:00,57000
2010-07-22T18:16:00,2010-07-22T20:16:00,NaN
2011-05-31T16:47:00,2011-05-31T18:47:00,NaN
2011-06-29T20:14:00,2011-06-29T22:14:00,NaN
2011-07-13T16:06:00,2011-07-13T18:06:00,NaN
2011-07-19T18:44:00,2011-07-19T20:44:00,NaN
2011-10-07T02:29:00,2011-10-07T04:29:00,NaN
2012-06-08T15:00:00,2012-06-08T17:00:00,NaN
2012-06-08T15:30:00,2012-06-08T17:30:00,10000
2012-07-29T02:21:00,2012-07-29T04:21:00,35000
2012-08-05T01:31:00,2012-08-05T03:31:00,45000
2012-09-12T08:42:00,2012-09-12T10:42:00,15000
2012-10-09T03:10:00,2012-10-09T05:10:00,2000
2013-07-22T16:59:00,2013-07-22T18:59:00,65000
2013-07-29T07:56:00,2013-07-29T09:56:00,25000
2013-08-08T10:54:00,2013-08-08T12:54:00,57000
2013-08-24T14:03:00,2013-08-24T16:03:00,31000
2013-09-08T19:37:00,2013-09-08T21:37:00,44000
2014-05-07T16:13:00,2014-05-07T18:13:00,5000
2014-07-08T10:19:00,2014-07-08T12:19:00,11373
2014-07-12T15:08:00,2014-07-12T17:08:00,85000
2014-07-20T21:00:00,2014-07-20T23:00:00,13000
