idx,cycle_period,storm2drought_ratio,storm_onset_month,storm_onset_day
0,30,0.05,1,1
1,30,0.05,2,1
2,30,0.05,3,1
3,30,0.05,4,1
4,30,0.05,5,1
5,30,0.05,6,1
6,30,0.05,7,1
7,30,0.05,8,1
8,30,0.05,9,1
9,45,0.05,1,1
10,45,0.05,2,1
11,45,0.05,3,1
12,45,0.05,4,1
13,45,0.05,5,1
14,45,0.05,6,1
15,45,0.05,7,1
16,45,0.05,8,1
17,45,0.05,9,1
18,60,0.05,1,1
19,60,0.05,2,1
20,60,0.05,3,1
21,60,0.05,4,1
22,60,0.05,5,1
23,60,0.05,6,1
24,60,0.05,7,1
25,60,0.05,8,1
26,60,0.05,9,1
27,75,0.05,1,1
28,75,0.05,2,1
29,75,0.05,3,1
30,75,0.05,4,1
31,75,0.05,5,1
32,75,0.05,6,1
33,75,0.05,7,1
34,75,0.05,8,1
35,75,0.05,9,1
36,90,0.05,1,1
37,90,0.05,2,1
38,90,0.05,3,1
39,90,0.05,4,1
40,90,0.05,5,1
41,90,0.05,6,1
42,90,0.05,7,1
43,90,0.05,8,1
44,90,0.05,9,1
45,105,0.05,1,1
46,105,0.05,2,1
47,105,0.05,3,1
48,105,0.05,4,1
49,105,0.05,5,1
50,105,0.05,6,1
51,105,0.05,7,1
52,105,0.05,8,1
53,105,0.05,9,1
54,120,0.05,1,1
55,120,0.05,2,1
56,120,0.05,3,1
57,120,0.05,4,1
58,120,0.05,5,1
59,120,0.05,6,1
60,120,0.05,7,1
61,120,0.05,8,1
62,120,0.05,9,1
