idx,cycle_period,storm2drought_ratio,storm_onset_month,storm_onset_day,ratio
0.0,15.0,0.1,2.0,1.0,1.0677569163679064
1.0,15.0,0.1,3.0,1.0,1.098546526876947
2.0,15.0,0.1,4.0,1.0,1.127215355781745
3.0,15.0,0.1,5.0,1.0,1.1283984632703965
4.0,15.0,0.1,6.0,1.0,1.0804124119089522
5.0,15.0,0.1,7.0,1.0,1.1115391806488557
6.0,15.0,0.1,8.0,1.0,1.1099510085944089
7.0,15.0,0.1,9.0,1.0,0.9938260860576085
8.0,15.0,0.1,10.0,1.0,0.8535732129054997
9.0,15.0,0.2,2.0,1.0,1.0413733380149932
10.0,15.0,0.2,3.0,1.0,1.0311605657388945
11.0,15.0,0.2,4.0,1.0,1.0850328844680417
12.0,15.0,0.2,5.0,1.0,1.0806638554415762
13.0,15.0,0.2,6.0,1.0,1.092426472973883
14.0,15.0,0.2,7.0,1.0,1.1081668412448447
15.0,15.0,0.2,8.0,1.0,1.102129995694387
16.0,15.0,0.2,9.0,1.0,1.018787941557677
17.0,15.0,0.2,10.0,1.0,1.0221761908962659
18.0,15.0,0.3,2.0,1.0,0.9625584731919055
19.0,15.0,0.3,3.0,1.0,1.0087635562293502
20.0,15.0,0.3,4.0,1.0,1.0294405300990888
21.0,15.0,0.3,5.0,1.0,1.0434447510170146
22.0,15.0,0.3,6.0,1.0,1.0461907001605082
23.0,15.0,0.3,7.0,1.0,1.0580789733756395
24.0,15.0,0.3,8.0,1.0,1.0800496772898731
25.0,15.0,0.3,9.0,1.0,1.0829369988187973
26.0,15.0,0.3,10.0,1.0,1.0601357158198497
27.0,15.0,0.4,2.0,1.0,0.8960794085707292
28.0,15.0,0.4,3.0,1.0,0.9742805381010549
29.0,15.0,0.4,4.0,1.0,0.9913980826469847
30.0,15.0,0.4,5.0,1.0,1.0184617871925674
31.0,15.0,0.4,6.0,1.0,1.0243967343417273
32.0,15.0,0.4,7.0,1.0,1.0265638908426327
33.0,15.0,0.4,8.0,1.0,1.0522619767564072
34.0,15.0,0.4,9.0,1.0,1.0651467351640387
35.0,15.0,0.4,10.0,1.0,1.0556307749392422
